Year,Event,Gold,Gold_Nation,Silver,Silver_Nation,Bronze,Bronze_Nation
"2012","Gymnastics Men horse vault","Yang Hak-Seon","South Korea","Denis Ablyazin","Russia","Ihor Radivilov","Ukraine"
"2012","Gymnastics Men individual all around","Kohei Uchimura","Japan","Marcel Nguyen","Germany","Danell Leyva","United States"
"2012","Gymnastics Men parallel bars","Feng Zhe","China","Marcel Nguyen","Germany","Hamilton Sabot","France"
"2012","Gymnastics Men pommelled horse","Kriszti_n Berki","Hungary","Louis Smith","Great Britain","Max Whitlock","Great Britain"
"2012","Gymnastics Men rings","Arthur Zanetti","Brazil","Chen Yibing","China","Matteo Morandi","Italy"
"2012","Gymnastics Men team all around","China","China","Japan","Japan","Great Britain","Great Britain"
"2012","Gymnastics Women balance beam","Deng Linlin","China","Sui Lu","China","Aly Raisman","United States"
"2012","Gymnastics Women floor exercise","Aly Raisman","United States","C_t_lina Ponor","Romania","Aliya Mustafina","Russia"
"2012","Gymnastics Women horse vault","Sandra Izba_a","Romania","McKayla Maroney","United States","Mariya Paseka","Russia"
"2012","Gymnastics Women individual all around","Gabby Douglas","United States","Viktoriya Komova","Russia","Aliya Mustafina","Russia"
"2012","Gymnastics Women team all around","United States","United States","Russia","Russia","Romania","Romania"
"2012","Gymnastics Women uneven bars","Aliya Mustafina","Russia","He Kexin","China","Beth Tweddle","Great Britain"
"2012","Handball Men handball","France","France","Sweden","Sweden","Croatia","Croatia"
"2012","Handball Women handball","Norway","Norway","Montenegro","Montenegro","Spain","Spain"
"2012","Hockey Men hockey","Germany","Germany","Netherlands","Netherlands","Australia","Australia"
"2012","Hockey Women hockey","Netherlands","Netherlands","Argentina","Argentina","Great Britain","Great Britain"
"2012","Judo Men extra lightweight","Arsen Galstyan","Russia","Hiroaki Hiraoka","Japan","['Rishod Sobirov', 'Felipe Kitadai']","['Uzbekistan', 'Brazil']"
"2012","Judo Men half heavyweight","Tagir Khaybulayev","Russia","Naidangiin T_vshinbayar","Mongolia","['Henk Grol', 'Dimitri Peters']","['Netherlands', 'Germany']"
"2012","Judo Men half lightweight","Lasha Shavdatuashvili","Georgia","Mikl_s Ungv_ri","Hungary","['Masashi Ebinuma', 'Jo Jun-Ho']","['Japan', 'South Korea']"
"2012","Judo Men half middleweight","Kim Jae-Beom","South Korea","Ole Bischof","Germany","['Ivan Nifontov', 'Antoine Valois-Fortier']","['Russia', 'Canada']"
"2012","Judo Men heavyweight","Teddy Riner","France","Aleksandr Mikhaylin","Russia","['Andreas T\xc3\xb6lzer', 'Rafael da Silva']","['Germany', 'Brazil']"
"2012","Judo Men lightweight","Mansur Isayev","Russia","Riki Nakaya","Japan","['Saynjargalyn Nyam-Ochir', 'Ugo Legrand']","['Mongolia', 'France']"
"2012","Judo Men middleweight","Song Dae-Nam","South Korea","Asley Gonz_lez","Cuba","['Ilias Iliadis', 'Masashi Nishiyama']","['Greece', 'Japan']"
"2012","Judo Women extra lightweight","Sarah Menezes","Brazil","Alina Dumitru","Romania","['\xc3\x89va Csernoviczki', 'Charline Van Snick']","['Hungary', 'Belgium']"
"2012","Judo Women half heavyweight","Kayla Harrison","United States","Gemma Gibbons","Great Britain","['Mayra Silva', 'Audrey Tcheumeo']","['Brazil', 'France']"
"2012","Judo Women half lightweight","An Kum-Ae","North Korea","Yanet Bermoy","Cuba","['Rosalba Forciniti', 'Priscilla Gneto']","['Italy', 'France']"
"2012","Judo Women half middleweight","Ur_ka _olnir","Slovenia","Xu Lili","China","['G\xc3\xa9vrise Emane', 'Yoshie Ueno']","['France', 'Japan']"
"2012","Judo Women heavyweight","Idalys Ort_z","Cuba","Mika Sugimoto","Japan","['Karina Bryant', 'Tong Wen']","['Great Britain', 'China']"
"2012","Judo Women lightweight","Kaori Matsumoto","Japan","Corina C_prioriu","Romania","['Automne Pavia', 'Marti Malloy']","['France', 'United States']"
"2012","Judo Women middleweight","Lucie D_cosse","France","Kerstin Thiele","Germany","['Edith Bosch', 'Yuri Alvear']","['Netherlands', 'Colombia']"
"2012","Modern Pentathlon Men individual","David Svoboda","Czech Republic","Cao Zhongrong","China","_d_m Marosi","Hungary"
"2012","Modern Pentathlon Women individual","Laura Asadauskait_","Lithuania","Samantha Murray","Great Britain","Yane Marques","Brazil"
"2012","Rhythmic Gymnastics Women group","Russia","Russia","Belarus","Belarus","Italy","Italy"
"2012","Rhythmic Gymnastics Women individual","Yevgeniya Kanayeva","Russia","Darya Dmitriyeva","Russia","Lyubov Cherkashina","Belarus"
"2012","Rowing Men coxed eights","Germany","Germany","Canada","Canada","Great Britain","Great Britain"
"2012","Rowing Men coxless fours","Great Britain","Great Britain","Australia","Australia","United States","United States"
"2012","Rowing Men coxless pairs","New Zealand","New Zealand","France","France","Great Britain","Great Britain"
"2012","Rowing Men double sculls","New Zealand","New Zealand","Italy","Italy","Slovenia","Slovenia"
"2012","Rowing Men lightweight coxless fours","South Africa","South Africa","Great Britain","Great Britain","Denmark","Denmark"
"2012","Rowing Men lightweight double sculls","Denmark","Denmark","Great Britain","Great Britain","New Zealand","New Zealand"
"2012","Rowing Men quadruple sculls","Germany","Germany","Croatia","Croatia","Australia","Australia"
"2012","Rowing Men single sculls","Mah_ Drysdale","New Zealand","Ond_ej Synek","Czech Republic","Alan Campbell","Great Britain"
"2012","Rowing Women coxed eights","United States","United States","Canada","Canada","Netherlands","Netherlands"
"2012","Rowing Women coxless pairs","Great Britain","Great Britain","Australia","Australia","New Zealand","New Zealand"
"2012","Rowing Women double sculls","Great Britain","Great Britain","Australia","Australia","Poland","Poland"
"2012","Rowing Women lightweight double sculls","Great Britain","Great Britain","China","China","Greece","Greece"
"2012","Rowing Women quadruple sculls","Ukraine","Ukraine","Germany","Germany","United States","United States"
"2012","Rowing Women single sculls","Mirka Knapkov_","Czech Republic","Fie Udby Erichsen","Denmark","Kim Crow","Australia"
"2012","Sailing Men one person dinghy","Tom Slingsby","Australia","Pavlos Kontides","Cyprus","Rasmus Myrgren","Sweden"
"2012","Sailing Men one person heavyweight dinghy","Ben Ainslie","Great Britain","Jonas H_gh Christensen","Denmark","Jonathan Lobert","France"
"2012","Sailing Men skiff","Australia","Australia","New Zealand","New Zealand","Denmark","Denmark"
"2012","Sailing Men two person dinghy","Australia","Australia","Great Britain","Great Britain","Argentina","Argentina"
"2012","Sailing Men two person keelboat","Sweden","Sweden","Great Britain","Great Britain","Brazil","Brazil"
"2012","Sailing Men windsurfer","Dorian van Rijsselberge","Netherlands","Nick Dempsey","Great Britain","Przemys_aw Miarczy_ski","Poland"
"2012","Sailing Women one person dinghy","Xu Lijia","China","Marit Bouwmeester","Netherlands","Evi Van Acker","Belgium"
"2012","Sailing Women three person keelboat","Spain","Spain","Australia","Australia","Finland","Finland"
"2012","Sailing Women two person dinghy","New Zealand","New Zealand","Great Britain","Great Britain","Netherlands","Netherlands"
"2012","Sailing Women windsurfer","Marina Alabau","Spain","Tuuli Pet_j_","Finland","Zofia Noceti-Klepacka","Poland"
"2012","Shooting Men air pistol 10 metres","Jin Jong-O","South Korea","Luca Tesconi","Italy","Andrija Zlati_","Serbia"
"2012","Shooting Men air rifle 10 metres","Alin Moldoveanu","Romania","Niccol_ Campriani","Italy","Gagan Narang","India"
"2012","Shooting Men double trap","Peter Wilson","Great Britain","H_kan Dahlby","Sweden","Vasily Mosin","Russia"
"2012","Shooting Men free pistol 50 metres","Jin Jong-O","South Korea","Choi Yeong-Rae","South Korea","Wang Zhiwei","China"
"2012","Shooting Men rapid fire pistol 25 metres","Leuris Pupo","Cuba","Vijay Kumar","India","Ding Feng","China"
"2012","Shooting Men skeet","Vincent Hancock","United States","Anders Golding","Denmark","Nasser Al-Attiya","Qatar"
"2012","Shooting Men small bore rifle prone 50 metres","Sergey Martynov","Belarus","Lionel Cox","Belgium","Rajmond Debevec","Slovenia"
"2012","Shooting Men small bore rifle three positions 50 metres","Niccol_ Campriani","Italy","Kim Jong-Hyeon","South Korea","Matt Emmons","United States"
"2012","Shooting Men trap","Giovanni Cernogoraz","Croatia","Massimo Fabbrizi","Italy","Fehaid Al-Deehani","Kuwait"
"2012","Shooting Women air pistol 10 metres","Guo Wenjun","China","C_line Goberville","France","Olena Kostevych","Ukraine"
"2012","Shooting Women air rifle 10 metres","Yi Siling","China","Sylwia Bogacka","Poland","Yu Dan","China"
"2012","Shooting Women skeet","Kim Rhode","United States","Wei Ning","China","Danka Bartekov_","Slovakia"
"2012","Shooting Women small bore rifle three positions 50 metres","Jamie Beyerle-Gray","United States","Ivana Maksimovi_","Serbia","Ad_la S_korov_","Czech Republic"
"2012","Shooting Women sporting pistol 25 metres","Kim Jang-Mi","South Korea","Chen Ying","China","Olena Kostevych","Ukraine"
"2012","Shooting Women trap","Jessica Rossi","Italy","Zuzana _tefe_ekov_","Slovakia","Delphine Racinet-Reau","France"
"2012","Swimming Men 10 kilometres open water","Oussama Mellouli","Tunisia","Thomas Lurz","Germany","Richard Weinberger","Canada"
"2012","Swimming Men 100 metres backstroke","Matt Grevers","United States","Nick Thoman","United States","Ryosuke Irie","Japan"
"2012","Swimming Men 100 metres breaststroke","Cameron van der Burgh","South Africa","Christian Sprenger","Australia","Brendan Hansen","United States"
"2012","Swimming Men 100 metres butterfly","Michael Phelps","United States","['Yevgeny Korotyshkin', 'Chad le Clos']","['Russia', 'South Africa']",,
"2012","Swimming Men 100 metres freestyle","Nathan Adrian","United States","James Magnussen","Australia","Brent Hayden","Canada"
"2012","Swimming Men 1500 metres freestyle","Sun Yang","China","Ryan Cochrane","Canada","Oussama Mellouli","Tunisia"
"2012","Swimming Men 200 metres backstroke","Tyler Clary","United States","Ryosuke Irie","Japan","Ryan Lochte","United States"
"2012","Swimming Men 200 metres breaststroke","D_niel Gyurta","Hungary","Michael Jamieson","Great Britain","Ryo Tateishi","Japan"
"2012","Swimming Men 200 metres butterfly","Chad le Clos","South Africa","Michael Phelps","United States","Takeshi Matsuda","Japan"
"2012","Swimming Men 200 metres freestyle","Yannick Agnel","France","['Park Tae-Hwan', 'Sun Yang']","['South Korea', 'China']",,
"2012","Swimming Men 200 metres individual medley","Michael Phelps","United States","Ryan Lochte","United States","L_szl_ Cseh, Jr.","Hungary"
"2012","Swimming Men 4 x 100 metres freestyle relay","France","France","United States","United States","Russia","Russia"
"2012","Swimming Men 4 x 100 metres medley relay","United States","United States","Japan","Japan","Australia","Australia"
"2012","Swimming Men 4 x 200 metres freestyle relay","United States","United States","France","France","China","China"
"2012","Swimming Men 400 metres freestyle","Sun Yang","China","Park Tae-Hwan","South Korea","Peter Vanderkaay","United States"
"2012","Swimming Men 400 metres individual medley","Ryan Lochte","United States","Thiago Pereira","Brazil","Kosuke Hagino","Japan"
"2012","Swimming Men 50 metres freestyle","Florent Manaudou","France","Cullen Jones","United States","C_sar Cielo Filho","Brazil"
"2012","Swimming Women 10 kilometres open water","_va Risztov","Hungary","Haley Anderson","United States","Martina Grimaldi","Italy"
"2012","Swimming Women 100 metres backstroke","Missy Franklin","United States","Emily Seebohm","Australia","Aya Terakawa","Japan"
"2012","Swimming Women 100 metres breaststroke","R_ta Meilutyt_","Lithuania","Rebecca Soni","United States","Satomi Suzuki","Japan"
"2012","Swimming Women 100 metres butterfly","Dana Vollmer","United States","Lu Ying","China","Alicia Coutts","Australia"
"2012","Swimming Women 100 metres freestyle","Ranomi Kromowidjojo","Netherlands","Aleksandra Gerasimenya","Belarus","Tang Yi","China"
"2012","Swimming Women 200 metres backstroke","Missy Franklin","United States","Anastasiya Zuyeva","Russia","Elizabeth Beisel","United States"
"2012","Swimming Women 200 metres breaststroke","Rebecca Soni","United States","Satomi Suzuki","Japan","Yuliya Yefimova","Russia"
"2012","Swimming Women 200 metres butterfly","Jiao Liuyang","China","Mireia Belmonte","Spain","Natsumi Hoshi","Japan"
"2012","Swimming Women 200 metres freestyle","Allison Schmitt","United States","Camille Muffat","France","Bronte Barratt","Australia"
"2012","Swimming Women 200 metres individual medley","Ye Shiwen","China","Alicia Coutts","Australia","Caitlin Leverenz","United States"
"2012","Swimming Women 4 x 100 metres freestyle relay","Australia","Australia","Netherlands","Netherlands","United States","United States"
"2012","Swimming Women 4 x 100 metres medley relay","United States","United States","Australia","Australia","Japan","Japan"
"2012","Swimming Women 4 x 200 metres freestyle relay","United States","United States","Australia","Australia","France","France"
"2012","Swimming Women 400 metres freestyle","Camille Muffat","France","Allison Schmitt","United States","Becky Adlington","Great Britain"
"2012","Swimming Women 400 metres individual medley","Ye Shiwen","China","Elizabeth Beisel","United States","Li Xuanxu","China"
"2012","Swimming Women 50 metres freestyle","Ranomi Kromowidjojo","Netherlands","Aleksandra Gerasimenya","Belarus","Marleen Veldhuis","Netherlands"
"2012","Swimming Women 800 metres freestyle","Katie Ledecky","United States","Mireia Belmonte","Spain","Becky Adlington","Great Britain"
"2012","Synchronized Swimming Women duet","Russia","Russia","Spain","Spain","China","China"
"2012","Synchronized Swimming Women team","Russia","Russia","China","China","Spain","Spain"
"2012","Table Tennis Men singles","Zhang Jike","China","Wang Hao","China","Dmitrij Ovtcharov","Germany"
"2012","Table Tennis Men team","China","China","South Korea","South Korea","Germany","Germany"
"2012","Table Tennis Women singles","Li Xiaoxia","China","Ding Ning","China","Feng Tian Wei","Singapore"
"2012","Table Tennis Women team","China","China","Japan","Japan","Singapore","Singapore"
"2012","Taekwondo Men featherweight","Servet Tazeg_l","Turkey","Mohammad Bagheri Motamed","Iran","['Rohullah Nikpai', 'Terrence Jennings']","['Afghanistan', 'United States']"
"2012","Taekwondo Men flyweight","Joel Gonz_lez","Spain","Lee Dae-Hun","South Korea","['Aleksey Denisenko', 'Oscar Mu\xc3\xb1oz']","['Russia', 'Colombia']"
"2012","Taekwondo Men heavyweight","Carlo Molfetta","Italy","Anthony Obame","Gabon","['Liu Xiaobo', 'Robelis Despaigne']","['China', 'Cuba']"
"2012","Taekwondo Men welterweight","Sebastian Crismanich","Argentina","Nicol_s Garc_a","Spain","['Mauro Sarmiento', 'Lutalo Muhammad']","['Italy', 'Great Britain']"
"2012","Taekwondo Women featherweight","Jade Jones","Great Britain","Hou Yuzhuo","China","['Marl\xc3\xa8ne Harnois', 'Tseng Li-Cheng']","['France', 'Chinese Taipei']"
"2012","Taekwondo Women flyweight","Wu Jingyu","China","Brigitte Yag_e","Spain","['Chanatip Sonkham', 'Lucija Zaninovi\xc4\x87']","['Thailand', 'Croatia']"
"2012","Taekwondo Women heavyweight","Milica Mandi_","Serbia","Anne-Caroline Graffe","France","['Mar\xc3\xada Espinoza', 'Anastasiya Baryshnikova']","['Mexico', 'Russia']"
"2012","Taekwondo Women welterweight","Hwang Gyeong-Seon","South Korea","Nur Tatar","Turkey","['Helena Fromm', 'Paige McPherson']","['Germany', 'United States']"
"2012","Tennis Men doubles","United States","United States","France","France","France","France"
"2012","Tennis Men singles","Andy Murray","Great Britain","Roger Federer","Switzerland","Juan Mart_n del Potro","Argentina"
"2012","Tennis Mixed doubles","Belarus","Belarus","Great Britain","Great Britain","United States","United States"
"2012","Tennis Women doubles","United States","United States","Czech Republic","Czech Republic","Russia","Russia"
"2012","Tennis Women singles","Serena Williams","United States","Mariya Sharapova","Russia","Vika Azarenko","Belarus"
"2012","Trampolining Men individual","Dong Dong","China","Dmitry Ushakov","Russia","Lu Chunlong","China"
"2012","Trampolining Women individual","Rosie MacLennan","Canada","Huang Shanshan","China","He Wenna","China"
